,permanencia
0,FC__anamnese_enfermagem_NORMOCARDICO
1,raca_cor_Branca
2,grau_instrucao
3,especialidade_internacao_vec_3
4,especialidade_internacao_vec_22
5,especialidade_internacao_vec_23
6,especialidade_internacao_vec_68
7,especialidade_internacao_vec_76
8,especialidade_internacao_vec_93
9,especialidade_internacao_vec_122
10,especialidade_internacao_vec_156
11,especialidade_internacao_vec_166
12,especialidade_internacao_vec_173
13,especialidade_internacao_vec_179
14,especialidade_internacao_vec_190
15,especialidade_internacao_vec_203
16,especialidade_internacao_vec_205
17,especialidade_internacao_vec_206
18,especialidade_internacao_vec_208
19,especialidade_internacao_vec_209
20,especialidade_internacao_vec_215
21,especialidade_internacao_vec_225
22,especialidade_internacao_vec_242
23,especialidade_internacao_vec_246
24,especialidade_internacao_vec_260
25,especialidade_internacao_vec_273
26,especialidade_internacao_vec_279
27,especialidade_internacao_vec_280
28,especialidade_internacao_vec_281
29,especialidade_internacao_vec_295
30,cid_primario_internacao_vec_2
31,cid_primario_internacao_vec_3
32,cid_primario_internacao_vec_4
33,cid_primario_internacao_vec_9
34,cid_primario_internacao_vec_10
35,cid_primario_internacao_vec_11
36,cid_primario_internacao_vec_13
37,cid_primario_internacao_vec_14
38,cid_primario_internacao_vec_17
39,cid_primario_internacao_vec_20
40,cid_primario_internacao_vec_21
41,cid_primario_internacao_vec_25
42,cid_primario_internacao_vec_30
43,cid_primario_internacao_vec_31
44,cid_primario_internacao_vec_33
45,cid_primario_internacao_vec_34
46,cid_primario_internacao_vec_35
47,cid_primario_internacao_vec_38
48,cid_primario_internacao_vec_41
49,cid_primario_internacao_vec_42
50,cid_primario_internacao_vec_43
51,cid_primario_internacao_vec_47
52,cid_primario_internacao_vec_50
53,cid_primario_internacao_vec_51
54,cid_primario_internacao_vec_53
55,cid_primario_internacao_vec_55
56,cid_primario_internacao_vec_58
57,cid_primario_internacao_vec_61
58,cid_primario_internacao_vec_63
59,cid_primario_internacao_vec_66
60,cid_primario_internacao_vec_67
61,cid_primario_internacao_vec_73
62,cid_primario_internacao_vec_76
63,cid_primario_internacao_vec_79
64,cid_primario_internacao_vec_80
65,cid_primario_internacao_vec_82
66,cid_primario_internacao_vec_83
67,cid_primario_internacao_vec_85
68,cid_primario_internacao_vec_88
69,cid_primario_internacao_vec_90
70,cid_primario_internacao_vec_93
71,cid_primario_internacao_vec_94
72,cid_primario_internacao_vec_100
73,cid_primario_internacao_vec_101
74,cid_primario_internacao_vec_102
75,cid_primario_internacao_vec_103
76,cid_primario_internacao_vec_104
77,cid_primario_internacao_vec_108
78,cid_primario_internacao_vec_111
79,cid_primario_internacao_vec_112
80,cid_primario_internacao_vec_114
81,cid_primario_internacao_vec_115
82,cid_primario_internacao_vec_119
83,cid_primario_internacao_vec_132
84,cid_primario_internacao_vec_133
85,cid_primario_internacao_vec_134
86,cid_primario_internacao_vec_135
87,cid_primario_internacao_vec_140
88,cid_primario_internacao_vec_142
89,cid_primario_internacao_vec_143
90,cid_primario_internacao_vec_147
91,cid_primario_internacao_vec_148
92,cid_primario_internacao_vec_149
93,cid_primario_internacao_vec_152
94,cid_primario_internacao_vec_155
95,cid_primario_internacao_vec_164
96,cid_primario_internacao_vec_165
97,cid_primario_internacao_vec_167
98,cid_primario_internacao_vec_169
99,cid_primario_internacao_vec_174
100,cid_primario_internacao_vec_175
101,cid_primario_internacao_vec_176
102,cid_primario_internacao_vec_178
103,cid_primario_internacao_vec_180
104,cid_primario_internacao_vec_183
105,cid_primario_internacao_vec_186
106,cid_primario_internacao_vec_187
107,cid_primario_internacao_vec_189
108,cid_primario_internacao_vec_190
109,cid_primario_internacao_vec_192
110,cid_primario_internacao_vec_200
111,cid_primario_internacao_vec_201
112,cid_primario_internacao_vec_206
113,cid_primario_internacao_vec_210
114,cid_primario_internacao_vec_212
115,cid_primario_internacao_vec_214
116,cid_primario_internacao_vec_216
117,cid_primario_internacao_vec_217
118,cid_primario_internacao_vec_222
119,cid_primario_internacao_vec_225
120,cid_primario_internacao_vec_228
121,cid_primario_internacao_vec_229
122,cid_primario_internacao_vec_230
123,cid_primario_internacao_vec_237
124,cid_primario_internacao_vec_238
125,cid_primario_internacao_vec_239
126,cid_primario_internacao_vec_243
127,cid_primario_internacao_vec_245
128,cid_primario_internacao_vec_249
129,cid_primario_internacao_vec_250
130,cid_primario_internacao_vec_252
131,cid_primario_internacao_vec_259
132,cid_primario_internacao_vec_260
133,cid_primario_internacao_vec_261
134,cid_primario_internacao_vec_262
135,cid_primario_internacao_vec_263
136,cid_primario_internacao_vec_265
137,cid_primario_internacao_vec_266
138,cid_primario_internacao_vec_270
139,cid_primario_internacao_vec_273
140,cid_primario_internacao_vec_274
141,cid_primario_internacao_vec_277
142,cid_primario_internacao_vec_279
143,cid_primario_internacao_vec_286
144,cid_primario_internacao_vec_290
145,cid_primario_internacao_vec_291
146,cid_primario_internacao_vec_292
147,cid_primario_internacao_vec_296
148,cid_primario_internacao_vec_297
149,cid_primario_internacao_vec_299
150,cid_secundario_internacao_vec_6
151,cid_secundario_internacao_vec_12
152,cid_secundario_internacao_vec_48
153,cid_secundario_internacao_vec_49
154,cid_secundario_internacao_vec_56
155,cid_secundario_internacao_vec_65
156,cid_secundario_internacao_vec_79
157,cid_secundario_internacao_vec_144
158,cid_secundario_internacao_vec_214
159,cid_secundario_internacao_vec_216
160,cid_secundario_internacao_vec_224
161,cid_secundario_internacao_vec_260
162,cid_secundario_internacao_vec_299
163,primeiro_albumina
164,primeiro_c_reativa
165,primeiro_sodio
166,primeiro_ureia
167,primeiro_hemoglobina
168,primeiro_creatinina
169,primeiro_leococitos_hemograma
170,tempo_ultima_internacao_internacao_atual
171,idade_internacao
172,sexo
